n,m,seed,greedy,ga,q
7000.0,344.0,203.0,144316.35000000006,27293.917999999998,5.287491154622802
7000.0,344.0,204.0,110141.52,19782.703999999998,5.5675664964708576
7000.0,344.0,205.0,111539.28500000002,21434.877,5.203635411577124
7000.0,344.0,206.0,147193.1483333334,27493.915999999997,5.353662546045948
7000.0,344.0,207.0,113558.22500000003,21423.24133333333,5.300702318248638
7000.0,344.0,208.0,146594.0783333332,27479.466333333334,5.334677047767504
7000.0,344.0,209.0,109812.76499999994,19811.25966666667,5.542947134490637
7000.0,344.0,210.0,146191.8383333333,27407.19533333333,5.334067807935496
8000.0,100.0,211.0,112997.43000000007,21737.94566666666,5.198165076531232
8000.0,100.0,212.0,118885.88166666668,21954.902,5.415003978003031
8000.0,100.0,213.0,114990.45666666674,21677.96833333333,5.304484945198974
8000.0,100.0,214.0,109888.58833333342,20511.17,5.357499759074369
8000.0,100.0,215.0,110106.11333333337,20498.21766666667,5.371496933237432
8000.0,100.0,216.0,156328.53333333324,27608.781333333336,5.662275760958369
8000.0,100.0,217.0,112992.11000000002,20559.752,5.495791486200807
8000.0,100.0,218.0,110875.47666666661,22060.274666666664,5.026024305771712
8000.0,100.0,219.0,103784.22166666662,20485.559,5.066213798054845
8000.0,100.0,220.0,153842.0533333334,27516.201333333338,5.590962628513986
8000.0,200.0,221.0,162517.36833333343,28649.583999999995,5.672590859725344
8000.0,200.0,222.0,160126.55999999997,28575.475666666665,5.603635854320628
8000.0,200.0,223.0,130827.32833333331,22695.397000000004,5.764487324603015
8000.0,200.0,224.0,126108.34333333334,22740.738,5.545481564113413
8000.0,200.0,225.0,120491.41333333337,21288.007333333335,5.660060683306167
8000.0,200.0,226.0,120683.28833333332,21070.38533333333,5.727626069676687
8000.0,200.0,227.0,119036.63000000002,21016.587333333333,5.663937161253679
8000.0,200.0,228.0,118901.5233333333,21084.850000000006,5.639192279448669
8000.0,200.0,229.0,118674.43833333325,21029.689666666665,5.6431854304269375
8000.0,200.0,230.0,123136.7583333334,22696.556666666667,5.425349763040417
8000.0,344.0,231.0,166555.2166666667,30518.455666666665,5.457524407061796
8000.0,344.0,232.0,128686.24499999995,23835.160000000003,5.399009068955271
8000.0,344.0,233.0,127661.43333333333,23922.169666666665,5.336532392846363
8000.0,344.0,234.0,126862.87000000002,23845.960333333333,5.320099011599185
8000.0,344.0,235.0,164001.84333333315,30538.910333333333,5.3702585175190265
8000.0,344.0,236.0,125035.73666666668,22153.462666666666,5.644071924467249
8000.0,344.0,237.0,164452.3133333333,30521.645,5.388055372943801
8000.0,344.0,238.0,124400.81500000008,22140.227000000003,5.618768723554644
